,Open,High,Low,Close,Volume
2025-02-13 18:00:00,409.0841,409.1340,408.7946,409.0541,1873
2025-02-13 17:45:00,409.1589,409.2338,408.7946,409.1340,5565
2025-02-13 17:30:00,409.2821,418.7654,388.9389,409.2188,4962
2025-02-13 17:15:00,409.2737,413.1563,387.3406,409.1840,3104
2025-02-13 17:00:00,409.4134,409.7228,409.2338,409.2737,735396
2025-02-13 16:45:00,409.3635,409.5831,409.1839,409.2537,3544
2025-02-13 16:30:00,409.2619,409.7228,409.1839,409.3835,133363
2025-02-13 16:15:00,409.7228,409.7228,409.0242,409.1938,57844
2025-02-13 16:00:00,409.7028,409.9024,407.1878,409.2646,14519293
2025-02-13 15:45:00,409.2244,409.9723,409.0342,409.7028,1502877
2025-02-13 15:30:00,409.9024,409.9024,409.0456,409.2737,492481
2025-02-13 15:15:00,409.9823,410.1819,409.7128,409.8952,343192
2025-02-13 15:00:00,409.5032,410.1519,409.4583,409.9723,336526
2025-02-13 14:45:00,409.0641,409.8605,409.0242,409.5531,299200
2025-02-13 14:30:00,408.8745,409.3435,408.8445,409.1240,267461
2025-02-13 14:15:00,408.6898,408.9344,408.5253,408.8546,315847
2025-02-13 14:00:00,407.7767,408.8046,407.7767,408.7288,363476
2025-02-13 13:45:00,407.4872,408.0361,407.0980,407.7767,381641
2025-02-13 13:30:00,407.2677,407.7767,406.8294,407.5721,249715
2025-02-13 13:15:00,407.3874,407.6070,406.6389,407.2677,252782
2025-02-13 13:00:00,407.3226,407.3874,406.9483,407.3675,176715
2025-02-13 12:45:00,407.1280,407.6868,407.1280,407.3276,223898
2025-02-13 12:30:00,407.4872,407.4922,407.1379,407.1379,248422
2025-02-13 12:15:00,407.0431,407.5372,406.7587,407.4723,247184
2025-02-13 12:00:00,407.1180,407.6868,407.0182,407.0581,299821
2025-02-13 11:45:00,407.6170,407.8914,406.9683,407.0930,288295
2025-02-13 11:30:00,407.8016,408.1338,407.3874,407.6369,399031
2025-02-13 11:15:00,408.6799,408.7148,407.6170,407.8266,360432
2025-02-13 11:00:00,408.8745,409.1040,408.4054,408.7148,351851
2025-02-13 10:45:00,409.5631,409.6030,408.0762,408.8296,457705
2025-02-13 10:30:00,407.1679,409.5531,406.9583,409.5282,872217
2025-02-13 10:15:00,406.3345,407.3375,406.2198,407.1479,660181
2025-02-13 10:00:00,406.9084,407.3076,405.5512,406.2996,827660
2025-02-13 09:45:00,406.4044,407.0580,405.9104,406.9683,646808
2025-02-13 09:30:00,406.1898,408.1858,405.5511,406.4293,1447750
2025-02-13 09:15:00,407.2876,407.6868,405.9703,406.4194,47889
2025-02-13 09:00:00,407.9064,408.1060,406.3645,407.3076,16023
2025-02-13 08:45:00,408.0262,408.1858,407.7168,407.9064,10012
2025-02-13 08:30:00,407.7467,408.6848,407.2848,408.0960,1613573
2025-02-13 08:15:00,407.3874,408.2258,407.2876,407.7268,7157
2025-02-13 08:00:00,407.8864,409.2837,406.5408,407.3874,39603
2025-02-13 07:45:00,408.1060,408.1759,407.3675,407.3874,8735
2025-02-13 07:30:00,408.1160,408.1759,407.9563,408.1659,1697
2025-02-13 07:15:00,407.7367,408.5252,407.5172,407.9763,20999
2025-02-13 07:00:00,408.2457,408.3854,407.3775,407.7168,16754
2025-02-13 06:45:00,408.7747,408.7747,407.7966,408.1858,8804
2025-02-13 06:30:00,408.7348,408.8246,408.6349,408.7647,2830
2025-02-13 06:15:00,408.4054,408.8745,408.4054,408.8146,3770
2025-02-13 06:00:00,408.5052,408.5152,408.2258,408.3655,847
2025-02-13 05:45:00,408.5052,408.5850,408.2856,408.4753,1095
2025-02-13 05:30:00,408.4852,408.6749,408.3256,408.5052,3114
2025-02-13 05:15:00,408.0761,408.6449,407.9962,408.4852,5251
2025-02-13 05:00:00,407.8365,408.0860,407.8365,408.0860,2720
2025-02-13 04:45:00,407.5072,407.9862,407.5072,407.8665,5592
2025-02-13 04:30:00,406.9084,407.6669,406.9084,407.6270,7505
2025-02-13 04:15:00,406.9383,407.1878,406.8385,406.9383,7768
2025-02-13 04:00:00,407.8864,409.1639,406.4593,406.9483,7115
2025-02-12 19:45:00,408.7747,409.1839,408.5651,408.8346,3663
